certificate_id,verification_status,is_revoked,has_blockchain_tx,has_wallet_address,wallet_reuse_count,blockchain_network,honors,grade_numeric,completion_percentage,total_lessons,completed_lessons,total_quizzes,passed_quizzes,average_quiz_score,total_time_spent_min,certificate_age_hours,blockchain_delay_minutes,total_verifications,successful_verifications,failed_verifications,suspicious_attempts,unique_verifier_ips,unique_user_agents,avg_response_time_ms,max_suspicious_score,verification_window_hours,likely_fraud_label
SYNTH-1773907816345-00041,verified,0,0,0,0,,0,6,100,29,29,5,4,90,1428,2833.2659,-1,2,2,0,0,2,1,993.5,0,0,0
SYNTH-1773907816345-00042,verified,0,0,0,0,,0,2,100,15,15,6,6,58,1151,697.2658,-1,7,3,4,0,7,3,672.8571,0,0.0003,1
SYNTH-1773907816345-00043,verified,0,0,0,0,,0,4,100,34,34,4,2,81,632,3193.2654,-1,8,4,4,0,8,3,597.5,0,0.0003,0
SYNTH-1773907816345-00044,verified,0,0,0,0,,0,3,100,19,19,3,1,69,1592,913.2649,-1,7,2,5,0,7,6,609.8571,20,0.0002,1
SYNTH-1773907816345-00045,verified,0,0,0,0,,0,3,100,25,25,11,10,74,264,4297.2646,-1,5,3,2,0,5,3,1014.8,10,0.0002,0
SYNTH-1773907816345-00046,verified,0,0,0,0,,0,4,100,23,23,8,7,81,268,3193.2644,-1,8,4,4,0,8,3,666.25,10,0.0003,0
SYNTH-1773907816345-00047,verified,0,0,0,0,,1,6,100,11,11,11,10,93,3417,3961.264,-1,8,4,4,0,8,3,650.75,0,0.0003,0
SYNTH-1773907816345-00048,verified,0,0,0,0,,0,3,100,27,27,3,1,73,785,3217.2636,-1,7,5,2,0,7,3,469.4286,0,0.0004,0
SYNTH-1773907816345-00049,verified,0,0,0,0,,0,4,100,22,22,6,6,75,1063,577.2631,-1,7,6,1,0,7,3,791.1429,0,0.0005,0
SYNTH-1773907816345-00050,verified,0,0,0,0,,0,2,100,10,10,8,6,61,3487,2257.2625,-1,4,4,0,0,4,3,754.5,0,0.0002,0
SYNTH-1773907816345-00051,verified,0,0,0,0,,0,5,100,27,27,7,5,87,1237,2089.2622,-1,5,4,1,0,5,3,597.6,0,0.0003,0
SYNTH-1773907816345-00052,verified,0,0,0,0,,0,3,100,10,10,8,6,65,1203,457.2618,-1,5,4,1,0,5,2,531.4,0,0.0003,0
SYNTH-1773907816345-00053,verified,0,0,0,0,,0,4,100,27,27,11,9,84,3344,505.2614,-1,2,2,0,0,2,1,716.5,0,0.0001,0
SYNTH-1773907816345-00054,verified,0,0,0,0,,1,7,100,26,26,4,3,95,1547,2041.2612,-1,6,5,1,0,6,3,875.8333,10,0.0003,0
SYNTH-1773907816345-00055,verified,0,0,0,0,,1,6,100,26,26,5,3,93,3188,1033.2608,-1,4,3,1,0,4,2,807,0,0.0001,0
SYNTH-1773907816345-00056,verified,0,0,0,0,,1,6,100,35,35,8,6,93,2254,73.2607,-1,6,3,3,0,6,2,734.6667,10,0.0002,0
SYNTH-1773907816345-00057,verified,0,0,0,0,,0,3,100,26,26,4,3,69,1280,1129.2603,-1,7,5,2,0,7,2,571,0,0.0003,0
SYNTH-1773907816345-00058,verified,0,0,0,0,,0,2,100,17,17,4,2,63,879,1753.26,-1,8,5,3,0,8,3,547,0,0.0003,0
SYNTH-1773907816345-00059,verified,0,0,0,0,,0,3,100,16,16,10,9,68,911,2593.2596,-1,5,1,4,0,5,3,630.8,30,0.0002,1
SYNTH-1773907816345-00060,verified,0,0,0,0,,0,4,100,32,32,12,12,76,1716,121.2593,-1,4,4,0,0,4,3,549,0,0.0001,0
SYNTH-1773907816345-00061,verified,0,0,0,0,,0,3,100,21,21,8,6,72,3403,3865.2591,-1,3,3,0,0,3,2,155.3333,0,0.0001,0
SYNTH-1773907816345-00062,verified,0,0,0,0,,1,7,100,15,15,5,5,97,3190,1249.259,-1,5,3,2,0,5,3,829.8,0,0.0002,0
SYNTH-1773907816345-00063,verified,0,0,0,0,,0,3,100,10,10,12,10,70,3300,649.2587,-1,2,2,0,0,2,2,766.5,0,0.0001,0
SYNTH-1773907816345-00064,verified,0,0,0,0,,0,4,100,32,32,11,10,80,517,649.2585,-1,2,2,0,0,2,2,609.5,0,0,0
SYNTH-1773907816345-00065,verified,0,0,0,0,,1,6,100,21,21,9,8,94,2413,3241.2584,-1,2,2,0,0,2,2,1148,0,0,0
SYNTH-1773907816345-00066,verified,0,0,0,0,,0,3,100,20,20,11,9,74,572,3217.2583,-1,8,3,5,0,8,5,673.625,20,0.0003,1
SYNTH-1773907816345-00067,verified,0,0,0,0,,0,4,100,19,19,11,11,79,950,361.2579,-1,7,5,2,0,6,3,412.8571,0,0.0002,0
SYNTH-1773907816345-00068,verified,0,0,0,0,,0,3,100,31,31,7,7,74,513,553.2576,-1,6,2,4,0,6,3,480.8333,0,0.0002,1
SYNTH-1773907816345-00069,verified,0,0,0,0,,0,4,100,16,16,7,6,79,806,3313.2573,-1,6,5,1,0,6,3,508.6667,10,0.0002,0
SYNTH-1773907816345-00070,verified,0,0,0,0,,0,2,100,11,11,4,2,55,2416,2953.257,-1,2,1,1,0,2,2,508,0,0,0
SYNTH-1773907816345-00071,verified,0,0,0,0,,0,3,100,28,28,10,10,74,1617,505.2569,-1,6,5,1,0,6,3,913.3333,0,0.0002,0
SYNTH-1773907816345-00072,verified,0,0,0,0,,0,6,100,24,24,11,10,91,2209,4249.2566,-1,3,3,0,0,3,2,676.6667,0,0.0001,0
SYNTH-1773907816345-00073,verified,0,0,0,0,,0,2,100,15,15,7,6,64,2328,2305.2564,-1,6,4,2,0,6,3,584.1667,0,0.0002,0
SYNTH-1773907816345-00074,verified,0,0,0,0,,0,5,100,21,21,4,2,85,2283,2665.2562,-1,3,3,0,0,3,3,753,0,0.0001,0
SYNTH-1773907816345-00075,verified,0,0,0,0,,0,2,100,15,15,6,6,61,1785,2809.256,-1,3,1,2,0,3,2,530,0,0.0001,1
SYNTH-1773907816345-00076,verified,0,0,0,0,,0,2,100,16,16,5,3,56,3598,145.2558,-1,7,7,0,0,7,3,605.2857,10,0.0003,0
SYNTH-1773907816345-00077,verified,0,0,0,0,,1,7,100,30,30,9,7,96,1100,3817.2554,-1,7,7,0,0,7,3,943.4286,10,0.0003,0
SYNTH-1773907816345-00078,verified,0,0,0,0,,0,2,100,11,11,11,9,55,3007,481.255,-1,6,5,1,0,6,3,847.3333,0,0.0002,0
SYNTH-1773907816345-00079,verified,0,0,0,0,,0,2,100,33,33,4,2,55,2787,2977.2547,-1,2,2,0,0,2,1,880.5,0,0,0
SYNTH-1773907816345-00080,verified,0,0,0,0,,0,2,100,30,30,7,5,63,2772,2713.2546,-1,8,6,2,0,8,3,498.625,10,0.0005,0
SYNTH-1773907816345-00081,verified,0,0,0,0,,0,5,100,20,20,7,6,87,1208,3697.2541,-1,6,6,0,0,6,3,510.6667,0,0.0002,0
SYNTH-1773907816345-00082,verified,0,0,0,0,,1,7,100,14,14,5,4,99,1690,1201.2538,-1,4,4,0,0,4,2,443.75,10,0.0001,0
SYNTH-1773907816345-00083,verified,0,0,0,0,,0,4,100,26,26,6,5,83,594,337.2536,-1,2,1,1,0,2,2,1101,0,0,0
SYNTH-1773907816345-00084,verified,0,0,0,0,,0,4,100,23,23,6,6,84,668,4033.2535,-1,8,7,1,0,8,3,951.375,0,0.0003,0
SYNTH-1773907816345-00085,verified,0,0,0,0,,0,3,100,32,32,12,11,74,3054,2953.2531,-1,3,3,0,0,3,2,865.3333,0,0.0001,0
SYNTH-1773907816345-00086,verified,0,0,0,0,,0,5,100,35,35,3,2,88,2883,2881.2529,-1,4,2,2,0,4,3,708,0,0.0001,0
SYNTH-1773907816345-00087,verified,0,0,0,0,,1,6,100,19,19,3,3,93,3443,2449.2527,-1,8,5,3,0,8,3,507,0,0.0004,0
SYNTH-1773907816345-00088,verified,0,0,0,0,,0,2,100,28,28,12,12,58,2105,937.2522,-1,3,1,2,0,3,2,551,0,0.0001,1
SYNTH-1773907816345-00089,verified,0,0,0,0,,0,4,100,22,22,3,3,80,671,2473.2519,-1,3,3,0,0,3,2,764,10,0.0002,0
SYNTH-1773907816345-00090,verified,0,0,0,0,,0,4,100,12,12,12,12,83,647,4153.2516,-1,6,3,3,0,6,6,754.8333,20,0.0002,0
SYNTH-1773907816345-00091,verified,0,0,0,0,,1,7,100,21,21,7,5,98,1533,3457.2512,-1,3,2,1,0,3,2,859.3333,0,0.0001,0
SYNTH-1773907816345-00092,verified,0,0,0,0,,0,5,100,31,31,6,6,85,1533,1849.2511,-1,8,4,4,0,8,4,421.25,20,0.0003,0
SYNTH-1773907816345-00093,verified,0,0,0,0,,1,6,100,13,13,10,8,92,2999,673.2507,-1,5,4,1,0,5,3,422.2,0,0.0002,0
SYNTH-1773907816345-00094,verified,0,0,0,0,,0,4,100,32,32,10,9,78,1931,1729.2504,-1,5,5,0,0,5,2,388.8,0,0.0002,0
SYNTH-1773907816345-00095,verified,0,0,0,0,,1,6,100,24,24,6,5,92,431,2041.2501,-1,2,1,1,0,2,1,964,0,0,0
SYNTH-1773907816345-00096,verified,0,0,0,0,,0,3,100,32,32,12,11,66,2121,601.25,-1,6,4,2,0,6,1,830.3333,0,0.0002,0
SYNTH-1773907816345-00097,verified,0,0,0,0,,0,4,100,25,25,8,8,83,1342,2041.2497,-1,4,2,2,0,4,3,429.75,0,0.0001,0
SYNTH-1773907816345-00098,verified,0,0,0,0,,1,6,100,29,29,7,6,94,692,1345.2495,-1,8,7,1,0,8,3,751.375,0,0.0004,0
SYNTH-1773907816345-00099,verified,0,0,0,0,,0,4,100,12,12,9,8,82,1482,1561.2491,-1,4,4,0,0,4,2,412.75,10,0.0001,0
SYNTH-1773907816345-00100,verified,0,0,0,0,,1,7,100,21,21,11,10,96,1433,2449.2489,-1,5,5,0,0,5,2,593,0,0.0002,0
